"COU","Country","SOURCE","Source","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","1995","1995","M3","Cubic metres","6","Millions",,,24071,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2005","2005","M3","Cubic metres","6","Millions",,,13280,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2010","2010","M3","Cubic metres","6","Millions",,,13849,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2015","2015","M3","Cubic metres","6","Millions",,,16999.16668,"B","Break"
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2016","2016","M3","Cubic metres","6","Millions",,,15772.30506,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2017","2017","M3","Cubic metres","6","Millions",,,16642.73801,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2018","2018","M3","Cubic metres","6","Millions",,,17564.52175,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2019","2019","M3","Cubic metres","6","Millions",,,15349.86618,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2020","2020","M3","Cubic metres","6","Millions",,,13323.21597,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2021","2021","M3","Cubic metres","6","Millions",,,16250.77807,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","1995","1995","M3","Cubic metres","6","Millions",,,1852,"E","Estimated value"
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2005","2005","M3","Cubic metres","6","Millions",,,4523,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,2945,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2015","2015","M3","Cubic metres","6","Millions",,,2861.97968,"B","Break"
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2016","2016","M3","Cubic metres","6","Millions",,,2897.78928,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2017","2017","M3","Cubic metres","6","Millions",,,2860.81752,,
